,Datetime,Tweet Id,Username,Likes,Retweets,Text,token,tweet_tokens_WSW,tweet_tokens_stemmed
0,2023-03-15 05:40:21+00:00,1635878580327686144,QodirRajamuddin,0,0,"@MprAldo Jiwa komunis nampak sekali.
Tiap ummat Islam mendekati puasa Ramadhan pasti covid jg dtg wkt nya hhhhhhh komplak lo","['jiwa', 'komunis', 'nampak', 'sekali', 'tiap', 'ummat', 'islam', 'mendekati', 'puasa', 'ramadhan', 'pasti', 'covid', 'jg', 'dtg', 'wkt', 'nya', 'hhhhhhh', 'komplak', 'lo']","['jiwa', 'komunis', 'nampak', 'ummat', 'islam', 'mendekati', 'puasa', 'ramadhan', 'covid', 'jg', 'dtg', 'wkt', 'hhhhhhh', 'komplak', 'lo']","['jiwa', 'komunis', 'nampak', 'ummat', 'islam', 'dekat', 'puasa', 'ramadhan', 'covid', 'jg', 'dtg', 'wkt', 'hhhhhhh', 'komplak', 'lo']"
1,2023-03-15 05:40:06+00:00,1635878518436532225,azielzaaa,0,0,sebentar lagi bulan ramadhan jd latihan ga makan siang,"['sebentar', 'lagi', 'bulan', 'ramadhan', 'jd', 'latihan', 'ga', 'makan', 'siang']","['sebentar', 'ramadhan', 'latihan', 'makan', 'siang']","['sebentar', 'ramadhan', 'latih', 'makan', 'siang']"
2,2023-03-15 05:40:00+00:00,1635878491152588800,ailyqairy,0,0,"PRE-RAMADHAN CHECKLIST :

1) Bertaubat &amp; berdoa supaya berjumpa dengan Ramadhan yang mulia

2) Tingkatkan kualiti amalan dari sekarang

3) Lakukan ibadah tambahan

4) Menahan diri dari melakukan tindakan negatif

5) Berpuasa sunat / ganti supaya badan kita terbiasa untuk berpuasa","['preramadhan', 'checklist', 'bertaubat', 'amp', 'berdoa', 'supaya', 'berjumpa', 'dengan', 'ramadhan', 'yang', 'mulia', 'tingkatkan', 'kualiti', 'amalan', 'dari', 'sekarang', 'lakukan', 'ibadah', 'tambahan', 'menahan', 'diri', 'dari', 'melakukan', 'tindakan', 'negatif', 'berpuasa', 'sunat', 'ganti', 'supaya', 'badan', 'kita', 'terbiasa', 'untuk', 'berpuasa']","['preramadhan', 'checklist', 'bertaubat', 'berdoa', 'berjumpa', 'ramadhan', 'mulia', 'tingkatkan', 'kualiti', 'amalan', 'lakukan', 'ibadah', 'tambahan', 'menahan', 'tindakan', 'negatif', 'berpuasa', 'sunat', 'ganti', 'badan', 'terbiasa', 'berpuasa']","['preramadhan', 'checklist', 'taubat', 'doa', 'jumpa', 'ramadhan', 'mulia', 'tingkat', 'alit', 'amal', 'laku', 'ibadah', 'tambah', 'tahan', 'tindak', 'negatif', 'puasa', 'sunat', 'ganti', 'badan', 'biasa', 'puasa']"
3,2023-03-15 05:39:59+00:00,1635878487398690817,alravox,0,0,@jurgenholic Karena tweet-mu meyakinkan. 😑,"['karena', 'tweetmu', 'meyakinkan']",['tweetmu'],['tweetmu']
4,2023-03-15 05:39:58+00:00,1635878484764692482,RioRifqiR,0,0,@DayatLannister @GoldMine82 @shizy_Lia @persebayaupdate Plus rawan cedera sisan dan rumor pemain asing pengganti ne Victor teko negara paraguay,"['lia', 'plus', 'rawan', 'cedera', 'sisan', 'dan', 'rumor', 'pemain', 'asing', 'pengganti', 'ne', 'victor', 'teko', 'negara', 'paraguay']","['lia', 'plus', 'rawan', 'cedera', 'sisan', 'rumor', 'pemain', 'asing', 'pengganti', 'ne', 'victor', 'teko', 'negara', 'paraguay']","['lia', 'plus', 'rawan', 'cedera', 'sis', 'rumor', 'main', 'asing', 'ganti', 'ne', 'victor', 'teko', 'negara', 'paraguay']"
5,2023-03-15 05:39:54+00:00,1635878468339798018,GRUNGE_GO,0,0,"Marhaban Yaa Ramadhan, tinggal sebentar lagi kawan. 🤲🏼🙂 https://t.co/tmAlnqmSL3","['marhaban', 'yaa', 'ramadhan', 'tinggal', 'sebentar', 'lagi', 'kawan']","['marhaban', 'yaa', 'ramadhan', 'tinggal', 'sebentar', 'kawan']","['marhaban', 'yaa', 'ramadhan', 'tinggal', 'sebentar', 'kawan']"
6,2023-03-15 05:39:46+00:00,1635878433900167169,MichuziJr,0,0,"Mkurugenzi wa zamani wa Uchaguzi ambaye kwa sasa ni Naibu Katibu Mkuu Ofisi ya Rais Tawala za Mikoa na Serikali za Mitaa (Afya), Dkt. Wilson Mahera (kushoto) akimkabidhi vitendea Kazi Mkurugenzi Mpya wa Uchaguzi wa Tume ya Taifa ya Uchaguzi, Ramadhan Kailima. https://t.co/iCgUFp9CtO","['mkurugenzi', 'wa', 'zamani', 'wa', 'uchaguzi', 'ambaye', 'kwa', 'sasa', 'ni', 'naibu', 'katibu', 'mkuu', 'ofisi', 'ya', 'rais', 'tawala', 'za', 'mikoa', 'na', 'serikali', 'za', 'mitaa', 'afya', 'dkt', 'wilson', 'mahera', 'kushoto', 'akimkabidhi', 'vitendea', 'kazi', 'mkurugenzi', 'mpya', 'wa', 'uchaguzi', 'wa', 'tume', 'ya', 'taifa', 'ya', 'uchaguzi', 'ramadhan', 'kailima']","['mkurugenzi', 'wa', 'zamani', 'wa', 'uchaguzi', 'ambaye', 'kwa', 'sasa', 'ni', 'naibu', 'katibu', 'mkuu', 'ofisi', 'rais', 'tawala', 'za', 'mikoa', 'na', 'serikali', 'za', 'mitaa', 'afya', 'dkt', 'wilson', 'mahera', 'kushoto', 'akimkabidhi', 'vitendea', 'kazi', 'mkurugenzi', 'mpya', 'wa', 'uchaguzi', 'wa', 'tume', 'taifa', 'uchaguzi', 'ramadhan', 'kailima']","['mkurugenzi', 'wa', 'zaman', 'wa', 'uchaguzi', 'ambaye', 'kwa', 'sasa', 'ni', 'naibu', 'katibu', 'mkuu', 'ofisi', 'rais', 'tawala', 'za', 'mikoa', 'na', 'serikali', 'za', 'mitaa', 'afya', 'dkt', 'wilson', 'mahera', 'kushoto', 'akimkabidhi', 'vitendea', 'kazi', 'mkurugenzi', 'mpya', 'wa', 'uchaguzi', 'wa', 'tume', 'taifa', 'uchaguzi', 'ramadhan', 'kailima']"
7,2023-03-15 05:39:43+00:00,1635878423565565961,RamadhanBigmoon,0,0,@kegblgnunfaedh Bodo amat😜,"['bodo', 'amat']",['bodo'],['bodo']
8,2023-03-15 05:39:42+00:00,1635878418528223237,minedelray,0,0,first day of ramadhan kalau masuk bikin bts pada mau gaksi,"['first', 'day', 'of', 'ramadhan', 'kalau', 'masuk', 'bikin', 'bts', 'pada', 'mau', 'gaksi']","['first', 'day', 'of', 'ramadhan', 'masuk', 'bts', 'gaksi']","['first', 'day', 'of', 'ramadhan', 'masuk', 'bts', 'gaksi']"
9,2023-03-15 05:39:37+00:00,1635878395547619328,kiosrajut,0,0,"Belanja benang rajut utk project rajutan yg terkasih, dapat CASHBACK SIAP RAMADHAN CUAN hingga 25%, hanya ada di @Tokopedia KIOSRAJUT sampai tgl. 31 Market 2023. 
Yuk buruan, klik aja :
https://t.co/mDc3IYN1PD
#tokopediaviral #Ramadhan2023 #tokopedia #jualbenangrajut #benangrajut https://t.co/LVBsiyQPOW","['belanja', 'benang', 'rajut', 'utk', 'project', 'rajutan', 'yg', 'terkasih', 'dapat', 'cashback', 'siap', 'ramadhan', 'cuan', 'hingga', 'hanya', 'ada', 'di', 'kiosrajut', 'sampai', 'tgl', 'market', 'yuk', 'buruan', 'klik', 'aja']","['belanja', 'benang', 'rajut', 'project', 'rajutan', 'terkasih', 'cashback', 'ramadhan', 'cuan', 'kiosrajut', 'tgl', 'market', 'yuk', 'buruan', 'klik']","['belanja', 'benang', 'rajut', 'project', 'rajut', 'kasih', 'cashback', 'ramadhan', 'cuan', 'kiosrajut', 'tgl', 'market', 'yuk', 'buru', 'klik']"
