,term,rank
0,ramadhan,3.483120566774752
1,ibadah,2.469587420632841
2,sambut,2.0928780476779814
3,aman,2.2879936051822853
4,covid,2.0845261919852147
5,makan,4.296687244810988
6,jelang,1.9901897971463822
7,puasa,1.4019296110975994
8,ganti,0.7854778083360731
9,pas,0.8217207322513858
10,suci,1.6379975601628987
11,mari,2.01668646258086
12,nyaman,2.01668646258086
13,darurat,2.01668646258086
14,main,0.8567388153752629
15,ne,1.1648212823269968
16,negara,0.9769661195515491
17,yuk,0.9839208710736821
18,acara,1.0184089410537078
19,buka,1.5412434254864322
20,orang,1.290020638492833
21,tutup,1.1604064483198333
22,doa,0.792530056404336
23,asing,0.7633867553884094
24,tinggal,0.7927921364494432
25,ni,0.4545302677040287
26,udah,2.367805847529004
27,ramadan,0.7879873356224769
28,penuh,0.6489399011643584
29,rangkai,0.6327553089051035
30,pasti,2.1111555633562795
31,legend,1.1449074387920217
32,bentar,0.8034462600222816
33,moga,2.272136924396519
34,bang,1.845043517555068
35,ku,0.6394869580637044
36,berkah,0.5378956153855812
37,lebaran,0.4393491306899447
38,libur,0.4804568710984344
39,islam,0.586084704695525
40,dekat,0.45421564613903187
41,jg,1.1135609389214973
42,sebentar,1.2893863503301548
43,jumpa,0.4110204422540045
44,tingkat,0.5994048116204233
45,rumor,0.391839488282151
46,victor,0.391839488282151
47,paraguay,0.391839488282151
48,wa,0.7123183333991765
49,masuk,0.6874376987406157
