Datetime,Tweet Id,Username,Likes,Retweets,Text
2023-03-15 05:36:29+00:00,1635877607978971137,rdkugm,0,0,"[AFTER REPORT PREMIERE LAUNCHING RDK 1444 H]

Assalamualaikum Sobat RDK! 

Tak terasa ya bulan suci ramadan sudah semakin dekat kini tinggal menghitung hari. Dan salah satu serangkaian acara dari Ramadhan di Kampus UGM pun sudah terlaksana yaitu Premier Launching https://t.co/CJPPJOii6g"
2023-03-15 05:36:23+00:00,1635877584000135169,winskrg,0,0,@cehlos Mau cash buat bekal ramadhan
2023-03-15 05:36:19+00:00,1635877565629079552,zezecutee,0,0,Minggu depan udah ramadhan 🥺
2023-03-15 05:35:59+00:00,1635877480660893698,NinaAbdulRahman,0,0,"Assalamualaikum &amp; hi korang. 
Untuk jumaat terakhir sebelum masuk bulan ramadhan ni maka ini slot akhir kita buka untuk infaq di masjid selepas solat jumaat. 

Yang nak join boleh wasap Nina ye 🥰
https://t.co/QiS0QsuDWN 

#TEPUNGPELITAKETAGIH https://t.co/yP7RWIGW9s"
2023-03-15 05:35:51+00:00,1635877447483932672,RioRifqiR,0,0,"@OnJu17 @GoldMine82 @persebayaupdate Feeling ku sing bek tengah asing iku sing jarene sak negara ne Ze 
Lek sing striker feeling ku sing rumor e pemain negara paraguay pengganti ne Victor"
2023-03-15 05:35:40+00:00,1635877403196264450,nu_online,1,0,"Sudahkah Anda siap menyambut Ramadhan? Berikut 7 fitur favorit di NU Online Super App yang bisa menemani ibadahmu di bulan penuh berkah ini.

Download segera di sini: https://t.co/RaNF6Fzk6E

#nahdlatululama #nuonline #ramadhan #aplikasikeislaman https://t.co/glAqPGsuBF"
2023-03-15 05:35:29+00:00,1635877358094929922,AljawiRamadhan,0,0,"JODOH itu boleh jadi ujian seperti surat Al-furqan ayat 20. Contohnya: Fir'aun dijodohkan dengan Asiah istri yang shalihah Dan boleh  jadi cerminan dari diri sendiri.contohnya seperti Aisyah Ra dan Rasulullah ﷺ 

#Muhasabahcinta 💕
#Munajatcinta
#istikharahcinta"
2023-03-15 05:35:19+00:00,1635877313362395136,Ijusu1,0,0,Menyambut Bulan Ramadhan Polda Sumut Bersama Polres Binjai Dan TNI BNN Gerebek Penyakit Masyarakat https://t.co/Aj1Ldpuuqk
2023-03-15 05:34:57+00:00,1635877222669225984,fadlicuy,0,0,@fairuz_azamie @SeputarTetangga Bandung jg sama bang 😔
2023-03-15 05:34:45+00:00,1635877171880423428,MD_210421,0,0,semoga bisa win sebelum ramadhan
